venue,horse1_onehourago_win,horse2_onehourago_win,horse3_onehourago_win,horse4_onehourago_win,horse5_onehourago_win,horse6_onehourago_win,horse7_onehourago_win,horse8_onehourago_win,horse9_onehourago_win,horse10_onehourago_win,horse11_onehourago_win,horse12_onehourago_win,horse13_onehourago_win,horse14_onehourago_win,horse15_onehourago_win,horse16_onehourago_win,horse17_onehourago_win,horse18_onehourago_win,horse1_onehourago_place_min,horse1_onehourago_place_max,horse2_onehourago_place_min,horse2_onehourago_place_max,horse3_onehourago_place_min,horse3_onehourago_place_max,horse4_onehourago_place_min,horse4_onehourago_place_max,horse5_onehourago_place_min,horse5_onehourago_place_max,horse6_onehourago_place_min,horse6_onehourago_place_max,horse7_onehourago_place_min,horse7_onehourago_place_max,horse8_onehourago_place_min,horse8_onehourago_place_max,horse9_onehourago_place_min,horse9_onehourago_place_max,horse10_onehourago_place_min,horse10_onehourago_place_max,horse11_onehourago_place_min,horse11_onehourago_place_max,horse12_onehourago_place_min,horse12_onehourago_place_max,horse13_onehourago_place_min,horse13_onehourago_place_max,horse14_onehourago_place_min,horse14_onehourago_place_max,horse15_onehourago_place_min,horse15_onehourago_place_max,horse16_onehourago_place_min,horse16_onehourago_place_max,horse17_onehourago_place_min,horse17_onehourago_place_max,horse18_onehourago_place_min,horse18_onehourago_place_max,horse1_thirtyminago_win,horse2_thirtyminago_win,horse3_thirtyminago_win,horse4_thirtyminago_win,horse5_thirtyminago_win,horse6_thirtyminago_win,horse7_thirtyminago_win,horse8_thirtyminago_win,horse9_thirtyminago_win,horse10_thirtyminago_win,horse11_thirtyminago_win,horse12_thirtyminago_win,horse13_thirtyminago_win,horse14_thirtyminago_win,horse15_thirtyminago_win,horse16_thirtyminago_win,horse17_thirtyminago_win,horse18_thirtyminago_win,horse1_thirtyminago_place_min,horse1_thirtyminago_place_max,horse2_thirtyminago_place_min,horse2_thirtyminago_place_max,horse3_thirtyminago_place_min,horse3_thirtyminago_place_max,horse4_thirtyminago_place_min,horse4_thirtyminago_place_max,horse5_thirtyminago_place_min,horse5_thirtyminago_place_max,horse6_thirtyminago_place_min,horse6_thirtyminago_place_max,horse7_thirtyminago_place_min,horse7_thirtyminago_place_max,horse8_thirtyminago_place_min,horse8_thirtyminago_place_max,horse9_thirtyminago_place_min,horse9_thirtyminago_place_max,horse10_thirtyminago_place_min,horse10_thirtyminago_place_max,horse11_thirtyminago_place_min,horse11_thirtyminago_place_max,horse12_thirtyminago_place_min,horse12_thirtyminago_place_max,horse13_thirtyminago_place_min,horse13_thirtyminago_place_max,horse14_thirtyminago_place_min,horse14_thirtyminago_place_max,horse15_thirtyminago_place_min,horse15_thirtyminago_place_max,horse16_thirtyminago_place_min,horse16_thirtyminago_place_max,horse17_thirtyminago_place_min,horse17_thirtyminago_place_max,horse18_thirtyminago_place_min,horse18_thirtyminago_place_max,horse1_tenminago_win,horse2_tenminago_win,horse3_tenminago_win,horse4_tenminago_win,horse5_tenminago_win,horse6_tenminago_win,horse7_tenminago_win,horse8_tenminago_win,horse9_tenminago_win,horse10_tenminago_win,horse11_tenminago_win,horse12_tenminago_win,horse13_tenminago_win,horse14_tenminago_win,horse15_tenminago_win,horse16_tenminago_win,horse17_tenminago_win,horse18_tenminago_win,horse1_tenminago_place_min,horse1_tenminago_place_max,horse2_tenminago_place_min,horse2_tenminago_place_max,horse3_tenminago_place_min,horse3_tenminago_place_max,horse4_tenminago_place_min,horse4_tenminago_place_max,horse5_tenminago_place_min,horse5_tenminago_place_max,horse6_tenminago_place_min,horse6_tenminago_place_max,horse7_tenminago_place_min,horse7_tenminago_place_max,horse8_tenminago_place_min,horse8_tenminago_place_max,horse9_tenminago_place_min,horse9_tenminago_place_max,horse10_tenminago_place_min,horse10_tenminago_place_max,horse11_tenminago_place_min,horse11_tenminago_place_max,horse12_tenminago_place_min,horse12_tenminago_place_max,horse13_tenminago_place_min,horse13_tenminago_place_max,horse14_tenminago_place_min,horse14_tenminago_place_max,horse15_tenminago_place_min,horse15_tenminago_place_max,horse16_tenminago_place_min,horse16_tenminago_place_max,horse17_tenminago_place_min,horse17_tenminago_place_max,horse18_tenminago_place_min,horse18_tenminago_place_max, payout
1,10.1,13.5,5.7,4.8,3.3,9.0,8.3,20.2,8.3,,,,,,,,,,1.9,3.0,3.2,5.4,1.3,1.8,1.1,1.3,2.0,3.3,3.0,5.1,2.4,3.9,4.9,8.3,1.6,2.5,,,,,,,,,,,,,,,,,,,11.7,22.5,3.1,6.5,3.2,6.0,11.2,35.2,16.0,,,,,,,,,,2.8,5.8,4.0,8.6,1.0,1.4,1.2,2.2,1.0,1.3,2.9,6.1,2.3,4.7,7.9,17.4,2.3,4.7,,,,,,,,,,,,,,,,,,,21.2,23.9,2.0,4.2,9.1,8.3,12.3,27.7,10.1,,,,,,,,,,2.6,4.8,2.9,5.4,1.2,1.6,1.0,1.3,1.8,3.2,2.5,4.5,2.0,3.6,7.9,14.9,1.6,2.8,,,,,,,,,,,,,,,,,,,170
1,42.5,45.9,23.4,1.1,47.8,49.9,20.8,21.6,13.2,22.5,,,,,,,,,3.0,4.0,3.7,4.9,2.1,2.7,1.9,2.5,3.0,4.0,3.7,4.9,1.6,1.9,2.5,3.2,1.5,1.7,2.4,3.2,,,,,,,,,,,,,,,,,20.6,45.9,15.6,1.3,49.0,52.7,22.5,13.8,14.5,7.5,,,,,,,,,2.9,4.7,4.0,6.7,2.1,3.3,2.3,3.7,3.9,6.5,3.8,6.3,1.7,2.5,1.7,2.6,1.1,1.2,2.8,4.5,,,,,,,,,,,,,,,,,9.7,25.8,6.7,3.8,46.8,36.6,10.1,2.8,17.2,6.9,,,,,,,,,1.5,1.8,4.6,6.4,1.6,2.1,1.9,2.5,17.5,24.0,2.6,3.6,2.3,3.1,1.9,2.6,3.5,4.8,2.0,2.6,,,,,,,,,,,,,,,,,520
1,15.4,5.7,5.9,14.3,5.8,23.9,13.9,2.5,11.6,61.6,,,,,,,,,2.4,5.8,1.4,3.0,1.0,1.2,3.1,8.0,3.7,9.5,4.5,11.7,3.1,8.0,1.0,1.3,2.0,4.9,7.6,20.2,,,,,,,,,,,,,,,,,25.4,2.4,5.0,9.9,7.1,37.2,17.2,5.2,12.7,53.7,,,,,,,,,5.2,10.5,1.0,1.3,1.2,1.8,1.9,3.5,2.3,4.3,6.6,13.3,3.2,6.1,1.3,2.3,2.6,4.9,12.4,25.2,,,,,,,,,,,,,,,,,40.2,3.2,3.9,9.5,8.0,32.2,7.7,8.8,6.9,53.9,,,,,,,,,4.8,9.1,1.2,1.8,1.1,1.3,2.6,4.7,4.3,8.1,6.7,12.8,1.6,2.8,1.5,2.5,2.1,3.7,7.6,14.5,,,,,,,,,,,,,,,,,370
1,13.5,20.0,2.3,9.0,5.7,15.9,41.7,7.5,33.9,5.7,,,,,,,,,1.4,1.9,2.5,3.5,2.8,3.9,1.3,1.7,1.5,2.1,2.9,4.0,6.1,8.6,3.3,4.7,3.9,5.6,2.1,2.9,,,,,,,,,,,,,,,,,14.3,16.5,2.9,8.6,5.7,14.5,38.4,5.7,30.4,5.2,,,,,,,,,1.9,2.5,3.6,5.1,2.3,3.2,1.6,2.2,1.3,1.6,2.7,3.8,5.2,7.4,2.9,4.1,5.5,7.7,1.6,2.1,,,,,,,,,,,,,,,,,7.4,32.9,9.9,9.7,3.6,6.4,9.8,5.8,54.0,6.1,,,,,,,,,2.5,3.4,3.9,5.5,2.6,3.5,3.4,4.7,1.5,1.9,1.5,1.8,4.2,5.8,1.7,2.2,7.3,10.1,1.6,2.1,,,,,,,,,,,,,,,,,300
1,61.1,51.6,15.6,10.8,11.4,1.1,49.1,63.7,16.3,61.1,,,,,,,,,4.2,13.4,4.3,13.8,3.6,11.1,1.4,3.7,2.4,7.2,1.0,1.0,3.4,10.5,2.0,5.9,1.1,2.1,3.8,12.1,,,,,,,,,,,,,,,,,53.2,38.3,12.9,6.6,7.3,1.4,48.1,43.4,14.0,50.2,,,,,,,,,7.1,17.2,8.5,20.6,3.5,8.0,1.5,3.1,1.2,2.1,1.0,1.1,7.7,18.5,4.4,10.3,1.7,3.6,1.5,3.1,,,,,,,,,,,,,,,,,59.6,32.5,14.2,2.9,8.0,1.9,72.2,39.7,11.4,30.7,,,,,,,,,8.7,18.2,4.1,8.3,2.5,4.9,1.1,1.6,1.6,2.9,1.0,1.3,12.8,26.8,3.8,7.8,1.2,2.1,4.7,9.6,,,,,,,,,,,,,,,,,330
1,16.2,8.2,11.1,5.3,6.3,10.5,5.7,5.9,5.0,,,,,,,,,,4.1,7.2,1.6,2.7,1.3,1.8,4.3,7.6,1.9,3.3,2.1,3.6,2.2,3.8,1.0,1.2,2.6,4.6,,,,,,,,,,,,,,,,,,,15.2,7.6,8.1,7.9,7.2,11.1,5.4,4.4,6.0,,,,,,,,,,3.0,4.5,2.1,3.1,1.5,2.0,5.6,8.4,1.5,2.1,2.2,3.3,2.3,3.4,1.2,1.4,2.9,4.4,,,,,,,,,,,,,,,,,,,14.9,14.8,6.2,25.6,3.2,19.1,3.5,6.5,7.9,,,,,,,,,,3.5,5.5,4.6,7.1,1.8,2.7,8.6,13.2,1.4,2.0,3.4,5.2,1.5,2.1,1.5,2.2,1.2,1.5,,,,,,,,,,,,,,,,,,,290
15,18.4,5.7,36.9,5.3,1.9,12.5,44.3,51.1,13.0,26.5,19.5,,,,,,,,2.3,4.0,2.1,3.6,4.8,8.8,1.4,2.1,1.0,1.2,3.5,6.4,4.4,8.0,5.2,9.7,1.5,2.5,3.3,6.0,5.2,9.7,,,,,,,,,,,,,,,17.8,8.1,38.0,7.9,1.6,9.3,31.6,67.1,13.9,27.1,30.0,,,,,,,,1.1,1.4,2.5,4.5,6.6,12.5,1.8,3.0,1.2,1.6,2.3,4.0,4.8,9.0,7.9,14.9,1.6,2.7,3.1,5.6,8.7,16.5,,,,,,,,,,,,,,,15.0,8.5,17.6,9.1,2.1,11.3,27.0,115.7,3.7,48.9,60.1,,,,,,,,2.3,5.3,1.8,4.2,2.5,5.8,2.6,6.1,1.1,1.5,2.1,4.8,3.0,7.4,7.6,19.4,1.0,1.2,4.8,12.0,13.8,35.8,,,,,,,,,,,,,,,190
15,9.8,16.9,6.8,9.8,22.1,16.2,21.0,20.0,61.6,2.4,10.7,8.2,,,,,,,2.0,2.6,2.1,2.8,2.8,3.8,1.4,1.6,3.6,5.0,2.3,3.1,6.7,9.5,6.3,8.9,3.8,5.4,3.2,4.5,5.9,8.4,2.1,2.8,,,,,,,,,,,,,6.9,17.4,7.5,8.6,21.4,18.5,22.5,26.9,47.7,3.1,15.5,4.6,,,,,,,1.5,2.1,2.8,4.2,4.0,6.2,1.3,1.7,4.7,7.2,3.3,5.0,2.4,3.6,7.9,12.3,6.5,10.1,2.3,3.3,9.7,15.0,1.4,1.8,,,,,,,,,,,,,8.8,41.7,29.1,9.4,51.6,7.7,81.1,101.4,102.1,5.3,75.3,1.6,,,,,,,1.7,3.9,5.3,13.5,5.8,15.0,1.6,3.4,5.6,14.4,1.4,3.1,7.7,20.1,18.0,47.9,18.2,48.4,1.1,1.9,7.3,19.1,1.0,1.1,,,,,,,,,,,,,3560
15,25.8,7.1,8.3,12.4,4.1,8.2,,30.7,20.8,9.2,3.1,,,,,,,,5.7,7.9,1.5,1.9,1.8,2.4,2.0,2.6,3.3,4.6,1.9,2.5,,3.8,5.3,3.4,4.8,2.8,3.9,1.4,1.7,,,,,,,,,,,,,,,,58.0,2.9,10.9,29.5,4.5,6.6,,67.2,26.2,7.7,4.6,,,,,,,,9.1,14.0,1.3,1.5,2.2,3.2,1.9,2.7,1.4,1.8,2.9,4.4,,3.3,5.1,2.5,3.7,3.1,4.8,2.0,2.9,,,,,,,,,,,,,,,,74.8,3.1,4.0,48.0,4.4,9.6,,115.6,18.2,9.8,6.4,,,,,,,,11.4,19.8,1.1,1.4,1.3,2.0,6.0,10.4,1.4,2.1,1.7,2.6,,15.6,27.1,3.0,4.9,2.4,3.9,2.4,3.8,,,,,,,,,,,,,,,,330
15,41.8,15.9,46.2,25.8,15.6,32.5,6.2,3.4,4.2,4.7,28.3,13.5,,,,,,,6.0,10.9,3.8,6.8,4.7,8.6,5.0,9.1,2.8,4.8,3.4,6.1,1.0,1.2,1.6,2.6,1.5,2.5,4.2,7.7,4.0,7.1,2.3,3.9,,,,,,,,,,,,,53.2,23.7,25.7,26.6,18.1,48.2,5.1,2.7,6.0,4.7,20.8,17.5,,,,,,,8.8,14.9,4.2,7.0,6.7,11.3,4.9,8.3,1.5,2.1,4.4,7.4,1.1,1.4,1.8,2.8,2.0,3.1,2.3,3.6,5.0,8.4,2.5,4.0,,,,,,,,,,,,,87.2,28.2,125.4,118.0,11.6,111.4,2.8,2.4,12.0,12.1,34.6,7.1,,,,,,,9.4,18.2,4.9,9.3,28.9,56.4,17.4,33.9,2.3,4.0,13.2,25.6,1.1,1.6,1.0,1.4,2.4,4.3,2.4,4.4,6.6,12.6,1.2,1.8,,,,,,,,,,,,,190
